"","A1","A2","A3","A4","A5","A6","A7","A8"
"Item01",0,0,1,1,0,1,0,0
"Item02",0,1,1,0,1,0,1,0
"Item03",0,1,0,1,0,0,0,1
"Item04",0,1,1,0,1,1,0,1
"Item05",0,0,0,0,1,1,1,1
"Item06",1,0,1,0,0,0,0,1
"Item07",1,1,0,1,0,0,0,1
"Item08",0,0,1,0,0,0,0,0
"Item09",0,1,1,1,1,1,1,0
"Item10",0,0,0,0,1,1,1,1
"Item11",0,1,0,1,1,0,1,0
"Item12",0,1,1,1,1,1,1,1
"Item13",1,0,0,0,0,1,1,1
"Item14",1,0,0,0,1,0,0,0
"Item15",1,1,0,0,0,0,1,0
"Item16",0,1,1,1,1,1,1,1
"Item17",1,0,0,0,1,1,0,1
"Item18",1,0,1,0,1,0,0,1
"Item19",0,1,1,0,0,1,0,1
"Item20",1,1,0,0,0,0,0,1
