"","student_id","course_id","pre_score","post_score","institution_id","year","term","instructor","male","female","parent_degree","course_use_las","pre_1","pre_2","pre_3","pre_4","pre_5","pre_6","pre_7","pre_8","pre_9","pre_10","pre_11","pre_13","pre_14","pre_15","pre_16","pre_17","pre_18","post_1","post_2","post_3","post_4","post_5","post_6","post_7","post_8","post_9","post_10","post_11","post_13","post_14","post_15","post_16","post_17","post_18"
"1","60758","1318",61.111111111111,NA,"24",2019,"Spring","Christine Herrera",1,0,NA,"Y","c","b","b","c","a","b","e","c","b","d","b","b","b","c","d","d","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","45059","1318",22.222222222222,NA,"24",2019,"Spring","Christine Herrera",1,0,NA,"Y","d","c","b","b","b","d","d","a","b","c","a","b","a","a","e","d","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","60644","1318",38.888888888889,NA,"24",2019,"Spring","Christine Herrera",1,0,NA,"Y","c","e","b","c","a","d","d","e","c","d","b","c","c","d","e","f","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","57602","1318",NA,NA,"24",2019,"Spring","Christine Herrera",0,0,NA,"Y","c","e","b","f","b","d","e","f","e","e","e","e","c","d","e","f","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","57603","1318",38.888888888889,NA,"24",2019,"Spring","Christine Herrera",0,1,NA,"Y","c","d","b","c","a","d","a","c","e","d","b","b","c","d","c","f","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","36786","1318",5.5555555555556,NA,"24",2019,"Spring","Christine Herrera",1,0,NA,"Y","c","e","c","d","b","d","e","e","e","e","e","e","c","d","e","f","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","57605","1318",50,NA,"24",2019,"Spring","Christine Herrera",1,0,NA,"Y","d","c","d","b","a","a","d","c","b","d","b","b","a","b","d","d","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","57606","1318",22.222222222222,NA,"24",2019,"Spring","Christine Herrera",0,1,NA,"Y","d","d","d","f","b","c","e","a","d","b","a","d","c","b","b","e","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","50377","1318",33.333333333333,NA,"24",2019,"Spring","Christine Herrera",1,0,NA,"Y","d","d","b","f","a","c","e","b","d","e","a","e","b","a","b","f","c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","21419","1318",11.111111111111,NA,"24",2019,"Spring","Christine Herrera",1,0,NA,"Y","c","e","b","f","b","a","e","d","d","e","d","a","c","a","b","f","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
