"","student_id","course_id","pre_score","post_score","institution_id","year","term","instructor","male","female","parent_degree","course_use_las","pre_3","pre_4","pre_5","pre_6","pre_7","pre_8","pre_9","pre_10","pre_11","pre_12","pre_13","pre_14","pre_15","pre_16","pre_17","pre_18","pre_19","pre_20","pre_21","pre_22","pre_23","pre_24","post_3","post_4","post_5","post_6","post_7","post_8","post_9","post_10","post_11","post_12","post_13","post_14","post_15","post_16","post_17","post_18","post_19","post_20","post_21","post_22","post_23","post_24"
"1","113137","2798",NA,22.7272727272727,"76",2021,"Fall","Yue Lei",1,0,"Yes","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c","b","a","d","c","a","c","d","a","b","b","c","b","b","a","c","c","e","a","c","c","a"
"2","113139","2798",NA,22.7272727272727,"76",2021,"Fall","Yue Lei",1,0,"No","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c","a","b","d","e","b","c","d","d","b","c","a","e","d","b","d","e","a","d","b","e","a"
"3","113140","2798",NA,40.9090909090909,"76",2021,"Fall","Yue Lei",1,0,"No","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b","c","a","b","b","c","c","e","d","a","c","c","e","d","a","a","b","b","d","d","c","a"
"4","113138","2798",NA,59.0909090909091,"76",2021,"Fall","Yue Lei",0,0,"No","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e","e","d","e","e","c","b","e","b","a","c","a","e","d","d","b","b","b","a","c","a","d"
"5","113141","2798",NA,59.0909090909091,"76",2021,"Fall","Yue Lei",1,0,"Yes","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e","a","a","b","a","c","b","e","b","b","c","a","a","b","b","d","b","b","d","c","a","a"
"6","113143","2798",NA,59.0909090909091,"76",2021,"Fall","Yue Lei",1,0,"Yes","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e","c","a","e","e","c","b","e","b","a","c","a","e","d","c","a","c","b","c","a","c","a"
"7","113145","2798",NA,31.8181818181818,"76",2021,"Fall","Yue Lei",1,0,"Yes","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c","a","b","b","c","b","b","d","d","b","b","a","e","a","b","a","b","e","c","d","e","a"
"8","113146","2798",NA,54.5454545454545,"76",2021,"Fall","Yue Lei",1,0,"No","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e","e","c","c","c","c","b","e","b","b","c","d","e","d","c","c","b","a","c","c","e","c"
"9","113148","2798",NA,59.0909090909091,"76",2021,"Fall","Yue Lei",1,0,"No","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e","e","a","e","c","b","b","a","b","b","c","d","a","b","c","d","b","a","c","b","a","a"
"10","113149","2798",NA,45.4545454545455,"76",2021,"Fall","Yue Lei",1,0,"No","N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e","e","a","b","e","d","b","a","a","e","c","c","a","d","b","a","b","b","c","d","a","a"
