"","assessment_sequence_id","student_id","student_or_la","pre_agree_to_participate","pre_submitted","pre_duration","post_agree_to_participate","post_submitted","post_duration","pre_answered","post_answered","pre_score","post_score","effect_size","learning_gain","gender_text","male","female","transgender","genderqueer_nonconforming","gender_noanswer","gender_other","hispanic","white","black","asian","american_indian","hawaiian_or_other_pacific_islander","race_noanswer","race_other","year_in_school","first_time","min_week_w_la_0","min_week_w_la_1to5","min_week_w_la_6to15","min_week_w_la_16to30","min_week_w_la_30plus","pre_1","pre_2","pre_3","pre_4","pre_5","pre_6","pre_7","pre_8","pre_9","pre_10","pre_11","pre_12","pre_13","pre_14","pre_15","pre_16","pre_17","pre_18","pre_19","pre_20","pre_21","pre_22","pre_23","pre_24","pre_25","pre_26","pre_27","pre_28","pre_29","pre_30","pre_31","pre_32","pre_33","pre_34","pre_35","pre_36","pre_37","pre_38","pre_39","pre_40","pre_41","pre_42","pre_43","pre_44","pre_45","pre_46","pre_47","post_1","post_2","post_3","post_4","post_5","post_6","post_7","post_8","post_9","post_10","post_11","post_12","post_13","post_14","post_15","post_16","post_17","post_18","post_19","post_20","post_21","post_22","post_23","post_24","post_25","post_26","post_27","post_28","post_29","post_30","post_31","post_32","post_33","post_34","post_35","post_36","post_37","post_38","post_39","post_40","post_41","post_42","post_43","post_44","post_45","post_46","post_47","pre_48","pre_49","pre_50","post_48","post_49","post_50","course_id","institution_id","ccihe_id","term","year","Bio","Chem","Math","Physics","Astronomy","n_of_qs_on_assessment","students_enrolled","pre_tests_completed","pre_agrees_to_participate","pre_declines_to_participate","post_tests_completed","post_agrees_to_participate","post_declines_to_participate","pre_nonresponses_to_participate","post_non_responses_to_participate","student_to_la_ratio","course_strat_interactive_lecture","course_strat_lecture","course_strat_discuss_small_groups","course_strat_design_activities","course_strat_req_work_together","course_strat_instr_solves_quant","course_strat_instr_solves_qual","course_strat_students_solve_quant","course_strat_students_solve_qual","times_taught","course_learning_goals_prob_solving","course_learning_goals_concept_understanding","course_learning_goals_attitudes_appreciation","course_use_las","la_primary_role","la_secondary_role","weekly_planning_time","times_taught_w_las","used_collaborative_learning","how_collected","community_college","public_inst","assessment_code","course_strat_integrated_lab_lecture","participate_credit_pre","participate_credit_post","participate_email_reminders","participate_inclass_reminders","discipline","has_multiple_versions","filter_question","PRE_start_date","PRE_end_date","POST_start_date","POST_end_date","pre_51","pre_52","post_51","post_52","ethnicity_text","race_text","time_with_la","pre_demographics_before","pre_assessment_version","post_demographics_before","post_assessment_version","n_of_qs_on_assessment_post","parent_degree","mideastern","multiracial","pre_consent","post_consent","pre_1_C","pre_2_C","pre_3_C","pre_4_C","pre_5_C","pre_6_C","pre_7_C","pre_8_C","pre_9_C","pre_10_C","pre_11_C","pre_12_C","pre_13_C","pre_14_C","pre_15_C","pre_16_C","pre_17_C","pre_18_C","pre_19_C","pre_20_C","pre_21_C","pre_22_C","pre_23_C","pre_24_C","pre_25_C","post_1_C","post_2_C","post_3_C","post_4_C","post_5_C","post_6_C","post_7_C","post_8_C","post_9_C","post_10_C","post_11_C","post_12_C","post_13_C","post_14_C","post_15_C","post_16_C","post_17_C","post_18_C","post_19_C","post_20_C","post_21_C","post_22_C","post_23_C","post_24_C","post_25_C"
"1","33","1928","Student","I agree to participate","2015-09-10 00:00:00",4468.813,NA,NA,NA,100,NA,36,NA,NA,NA,"Male",1,0,0,0,0,0,0,1,0,0,0,0,0,0,"1st",1,0,0,0,0,0,"c","b","c","b","e","c","d","b","a","d","e","e","c","c","b","d","c","b","b","d","c","c","c","a","c","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,41,195003,"Fall","2015",0,0,1,0,0,25,37,23,28,1,0,0,0,6,29,"N/A","No","Yes","Yes",NA,"Yes",NA,NA,NA,NA,"6",NA,NA,NA,"1","Facilitate small group discussions/activities during lecture (less than 50% of the total class time)",NA,60,"0",NA,"online",0,"Private","PCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","33","1929","Student","I agree to participate","2015-09-10 00:00:00",1133.878,NA,NA,NA,100,NA,40,NA,NA,NA,"Female",0,1,0,0,0,0,0,1,0,0,0,0,0,0,"2nd",1,0,0,0,0,0,"c","d","b","c","b","c","a","a","e","b","c","b","e","d","e","d","d","b","b","c","c","e","c","d","b","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,41,195003,"Fall","2015",0,0,1,0,0,25,37,23,28,1,0,0,0,6,29,"N/A","No","Yes","Yes",NA,"Yes",NA,NA,NA,NA,"6",NA,NA,NA,"1","Facilitate small group discussions/activities during lecture (less than 50% of the total class time)",NA,60,"0",NA,"online",0,"Private","PCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","33","1931","Student","I agree to participate","2015-09-10 00:00:00",958.236,NA,NA,NA,100,NA,44,NA,NA,NA,"Male",1,0,0,0,0,0,0,1,0,0,0,0,0,0,"1st",1,0,0,0,0,0,"c","a","d","b","b","a","b","e","b","d","e","a","e","a","a","d","d","b","b","a","b","b","c","d","e","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,41,195003,"Fall","2015",0,0,1,0,0,25,37,23,28,1,0,0,0,6,29,"N/A","No","Yes","Yes",NA,"Yes",NA,NA,NA,NA,"6",NA,NA,NA,"1","Facilitate small group discussions/activities during lecture (less than 50% of the total class time)",NA,60,"0",NA,"online",0,"Private","PCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","33","1932","Student","I agree to participate","2015-09-10 00:00:00",1206.946,NA,NA,NA,100,NA,44,NA,NA,NA,"Male",1,0,0,0,0,0,0,1,0,0,0,0,0,0,"1st",0,0,0,0,0,0,"e","b","d","a","b","c","d","d","e","c","d","d","e","c","b","d","e","b","b","a","b","c","c","a","d","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,41,195003,"Fall","2015",0,0,1,0,0,25,37,23,28,1,0,0,0,6,29,"N/A","No","Yes","Yes",NA,"Yes",NA,NA,NA,NA,"6",NA,NA,NA,"1","Facilitate small group discussions/activities during lecture (less than 50% of the total class time)",NA,60,"0",NA,"online",0,"Private","PCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","33","1934","Student","I agree to participate","2015-09-10 00:00:00",2852.161,NA,NA,NA,100,NA,44,NA,NA,NA,"Female",0,1,0,0,0,0,0,0,1,0,0,0,0,0,"3rd",0,0,0,0,0,0,"c","d","d","c","b","a","a","d","e","d","d","a","d","b","c","d","e","b","b","a","b","c","e","e","e","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,41,195003,"Fall","2015",0,0,1,0,0,25,37,23,28,1,0,0,0,6,29,"N/A","No","Yes","Yes",NA,"Yes",NA,NA,NA,NA,"6",NA,NA,NA,"1","Facilitate small group discussions/activities during lecture (less than 50% of the total class time)",NA,60,"0",NA,"online",0,"Private","PCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","33","1930","Student","I agree to participate","2015-09-10 00:00:00",1411.351,NA,NA,NA,100,NA,40,NA,NA,NA,"Male",1,0,0,0,0,0,1,1,0,0,0,0,0,0,"2nd",1,0,0,0,0,0,"c","a","d","c","d","c","a","a","e","d","e","a","d","c","b","d","e","c","b","a","a","e","d","e","c","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,41,195003,"Fall","2015",0,0,1,0,0,25,37,23,28,1,0,0,0,6,29,"N/A","No","Yes","Yes",NA,"Yes",NA,NA,NA,NA,"6",NA,NA,NA,"1","Facilitate small group discussions/activities during lecture (less than 50% of the total class time)",NA,60,"0",NA,"online",0,"Private","PCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","33","1913","Student","I agree to participate","2015-09-10 00:00:00",642.302,NA,NA,NA,100,NA,24,NA,NA,NA,"Female",0,1,0,0,0,0,0,1,0,0,0,0,0,0,"3rd",1,0,0,0,0,0,"c","b","c","c","d","c","b","d","d","d","d","b","c","d","c","d","d","d","a","a","e","a","c","e","d","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,41,195003,"Fall","2015",0,0,1,0,0,25,37,23,28,1,0,0,0,6,29,"N/A","No","Yes","Yes",NA,"Yes",NA,NA,NA,NA,"6",NA,NA,NA,"1","Facilitate small group discussions/activities during lecture (less than 50% of the total class time)",NA,60,"0",NA,"online",0,"Private","PCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","33","1936","Student","I agree to participate","2015-09-10 00:00:00",2554.832,NA,NA,NA,100,NA,36,NA,NA,NA,"Male",1,0,0,0,0,0,0,1,0,0,0,0,0,0,"1st",1,0,0,0,0,0,"c","a","d","a","e","a","e","d","d","d","e","b","a","e","b","d","a","b","a","a","b","c","b","b","b","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,41,195003,"Fall","2015",0,0,1,0,0,25,37,23,28,1,0,0,0,6,29,"N/A","No","Yes","Yes",NA,"Yes",NA,NA,NA,NA,"6",NA,NA,NA,"1","Facilitate small group discussions/activities during lecture (less than 50% of the total class time)",NA,60,"0",NA,"online",0,"Private","PCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","33","1939","Student","I agree to participate","2015-09-10 00:00:00",56.796,NA,NA,NA,100,NA,20,NA,NA,NA,"Male",1,0,0,0,0,0,0,0,0,1,0,0,0,0,"1st",1,0,0,0,0,0,"b","d","d","c","e","b","d","a","c","b","d","a","c","a","c","d","c","a","b","e","e","b","c","b","d","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,41,195003,"Fall","2015",0,0,1,0,0,25,37,23,28,1,0,0,0,6,29,"N/A","No","Yes","Yes",NA,"Yes",NA,NA,NA,NA,"6",NA,NA,NA,"1","Facilitate small group discussions/activities during lecture (less than 50% of the total class time)",NA,60,"0",NA,"online",0,"Private","PCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","33","1944","Student","I agree to participate","2015-09-10 00:00:00",1209.221,NA,NA,NA,100,NA,52,NA,NA,NA,"Male",1,0,0,0,0,0,0,1,0,0,0,0,0,0,"5th",1,0,0,0,0,0,"e","c","d","c","e","a","b","b","e","d","b","c","d","a","b","d","d","c","b","a","b","b","e","d","b","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,41,195003,"Fall","2015",0,0,1,0,0,25,37,23,28,1,0,0,0,6,29,"N/A","No","Yes","Yes",NA,"Yes",NA,NA,NA,NA,"6",NA,NA,NA,"1","Facilitate small group discussions/activities during lecture (less than 50% of the total class time)",NA,60,"0",NA,"online",0,"Private","PCA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
